message,subject,intent,issue
Very Good quide .Mam customer treat like as a family member.  ki rating hoti toh 100 out of 100 rating krta.Shopzilla   hi Shopzilla members ki jarurat hai.Thankyou with deeply heart.,,Product Specific Information,Product Specific Information - Very Good quide .Mam customer treat like as a family member.  ki rating hoti toh 100 out of 100 rati
Good,,General Enquiry,General Enquiry - Good
Kindly delivery item on time,,Order status enquiry,Order status enquiry - Kindly delivery item on time
Good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good ??
Resolved issu,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Resolved issu
The assistance was up to the mark. No suggestions,,Return request,Return request - The assistance was up to the mark. No suggestions 
2 Item shorts issue not solved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - 2 Item shorts issue not solved
Good,,General Enquiry,General Enquiry - Good 
?? ?? ?? ?? requst ???? ??? ?? costomer ?? ??? cheat ?? ???? thanks costomer care maam ?? ?? for providing me information,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - ?? ?? ?? ?? requst ???? ??? ?? costomer ?? ??? cheat ?? ???? thanks costomer care maam ?? ?? for pro
Full satisfied,,Order status enquiry,Order status enquiry - Full satisfied 
Customer care executive told me foe 2 min but hold 25 min then cut call and not solve my problem it's very unprofessional and unmaner person,,Installation/demo,Installation/demo - Customer care executive told me foe 2 min but hold 25 min then cut call and not solve my problem it'
Nice parsan,,Priority delivery,Priority delivery - Nice parsan
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Ok,,Invoice request,Invoice request - Ok
My order was not handled by,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - My order was not handled by 
"this business is depend on delivery base, & wish mmaster is important key. Strickly supervision on wishmaster work.",,UnProfessional Behaviour,"UnProfessional Behaviour - this business is depend on delivery base, & wish mmaster is important key. Strickly supervision on w"
Helpful,,Refund Enquiry,Refund Enquiry - Helpful 
"Improve ur logistics don't blame ur associates, U ppl only hold them responsible for none of thr fault.. ur Shopzilla service is totally disgusting",,Order status enquiry,"Order status enquiry - Improve ur logistics don't blame ur associates, U ppl only hold them responsible for none of thr fau"
Very bad,,Seller Cancelled Order,Seller Cancelled Order - Very bad 
"Shopzilla is very good, it makes it easy for the customer to get the product or do any work.",,Product Specific Information,"Product Specific Information - Shopzilla is very good, it makes it easy for the customer to get the product or do any work."
your deliver agent do company image down,,Delayed,Delayed - your deliver agent do company image down 
Not about this executive he was good. A call before that was kep on hold with the statement I will transfer it to manager for 7-8 min no resposne.. Poor service,,Seller Cancelled Order,Seller Cancelled Order - Not about this executive he was good. A call before that was kep on hold with the statement I will t
Nice,,Delayed,Delayed - Nice
Good,,UnProfessional Behaviour,UnProfessional Behaviour - Good
Poor quality products & poor service,,Installation/demo,Installation/demo - Poor quality products & poor service 
Super service. I'm happy. Quick and fast,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Super service. I'm happy. Quick and fast 
Very very good support customer care,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very very good support customer care
Cmsmfkfksks,,Order status enquiry,Order status enquiry - Cmsmfkfksks
Thanks for help me,,Return request,Return request - Thanks for help me 
Very good,,Refund Enquiry,Refund Enquiry - Very good 
Thank you so much for supporting,,General Enquiry,General Enquiry - Thank you so much for supporting
Good,,Missing,Missing - Good
Worst customer executive in my life,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Worst customer executive in my life
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Customer  support  is good,,Wrong,Wrong - Customer  support  is good
Shopzilla is one of Ecommerce which provide the  very good customer service only thing is give more options to connect with Customer care in easy manner,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Shopzilla is one of Ecommerce which provide the  very good customer service only thing is give more 
It was good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - It was good
Please resolve issue faster,,Return request,Return request - Please resolve issue faster
Thanks,,UnProfessional Behaviour,UnProfessional Behaviour - Thanks
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Very good I like your respect for customer,,Order status enquiry,Order status enquiry - Very good I like your respect for customer 
NICE AGENT,,Wrong,Wrong - NICE AGENT
The problem is still not solved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The problem is still not solved
Yes,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Yes
Good customer service,,Product Specific Information,Product Specific Information - Good customer service 
Very bad Shopzillacustomer care information,,Installation/demo,Installation/demo - Very bad Shopzillacustomer care information
All good,,Return request,Return request - All good
Still i didn't receive my invoice,,Invoice request,Invoice request - Still i didn't receive my invoice
Please give exact reason and solution don't ramble on,,General Enquiry,General Enquiry - Please give exact reason and solution don't ramble on
Shopzilla has cheated me.I got highly hurt.,,Delayed,Delayed - Shopzilla has cheated me.I got highly hurt.
Very very good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very very good ??
Need to know about my order and invoice which was not getting with my order,,Invoice request,Invoice request - Need to know about my order and invoice which was not getting with my order
Good service,,Delayed,Delayed - Good service 
Good,,Warranty related,Warranty related - Good
"Shopzilla is not resolving the issue, only wasting time, worst experience faced",,Service Center - Service Denial,"Service Center - Service Denial - Shopzilla is not resolving the issue, only wasting time, worst experience faced "
You do your  policy is more Flexible.  And increase number of customer care executive .,,Missing,Missing - You do your  policy is more Flexible.  And increase number of customer care executive .
Very good,,Damaged,Damaged - Very good 
awesome,,Priority delivery,Priority delivery - awesome 
Hopeless services Shopzilla and e   in delivery learn from others,,Order status enquiry,Order status enquiry - Hopeless services Shopzilla and e   in delivery learn from others
It was helpful,,Delayed,Delayed - It was helpful 
Thanks for Shopzilla,,Fraudulent User,Fraudulent User - Thanks for Shopzilla 
Good response & resolve..,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good response & resolve..
Excellent and good communication with mamm????,,General Enquiry,General Enquiry - Excellent and good communication with mamm????
Good,,Priority delivery,Priority delivery - Good 
Tell why should I not stop to order from Shopzilla.,,Order status enquiry,Order status enquiry - Tell why should I not stop to order from Shopzilla.
Delivery time is very highly,,Order status enquiry,Order status enquiry - Delivery time is very highly 
Very very poor service help center,,Return request,Return request - Very very poor service help center 
I'm happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I'm happy 
5,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - 5
nce agent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   nce agent
"*YELLOW CHIMES Valentine Special White Crsytal Adjustable Silver(1)My order was not received and showing as delivered..(2)I didn't even get the message for the order.(3)I didn't even get a call before the order arrived. We haven't received the order please refund my money...(4)Shopzilla company should not make such a big mistake.(5)The address which I entered the order did not go and my money was also wasted, it is the responsibility of Shopzilla company.(6)I want my money..",,Delayed,Delayed - *YELLOW CHIMES Valentine Special White Crsytal Adjustable Silver(1)My order was not received and sho
Very good,,Installation/demo,Installation/demo - Very good
Give me my refund money as soon as possible,,Missing,Missing - Give me my refund money as soon as possible 
pless full detail provide in customer payment and other product service detail complete provide customer,,Order status enquiry,Order status enquiry -  pless full detail provide in customer payment and other product service detail complete provide cus
Very cool person and good service I am very happy thish person ?,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very cool person and good service I am very happy thish person ?
Please send the invoice of purchase,,Invoice request,Invoice request - Please send the invoice of purchase 
Call me,,Delayed,Delayed - Call me
He talks very nicely and politely ... I like it ...   sir for helping me,,Fraudulent User,Fraudulent User - He talks very nicely and politely ... I like it ...   sir for helping me 
Very polite and humble in nature and talking skills are great,,Delayed,Delayed - Very polite and humble in nature and talking skills are great
No one yet given me proper solution only they are giving me new dates. More than one month to my query and no one solved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No one yet given me proper solution only they are giving me new dates. More than one month to my que
Satisfied,,Delayed,Delayed - Satisfied 
G,,Signup Issues,Signup Issues - G
No,,Wallet related,Wallet related - No
Problem is not resolved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Problem is not resolved 
Thank you for all about this .. thanks a lot for my resolve my problem,,Wrong,Wrong - Thank you for all about this .. thanks a lot for my resolve my problem 
Excellent,,Order status enquiry,Order status enquiry - Excellent
Solve my issue as soon as possible please,,Online Payment Issues,Online Payment Issues - Solve my issue as soon as possible please 
Delivered quickly,,Order status enquiry,Order status enquiry - Delivered quickly 
Not able to connect to executive for resolving queries. Cannot call Shopzilla executive,,UnProfessional Behaviour,UnProfessional Behaviour - Not able to connect to executive for resolving queries. Cannot call Shopzilla executive 
No,,Fraudulent User,Fraudulent User - No
Resolve the issue in simple manner.taking too much time to know the problem.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Resolve the issue in simple manner.taking too much time to know the problem.
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Santosh hai,,Wrong,Wrong - Santosh hai
Vg,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Vg
it's good,,Product Specific Information,Product Specific Information - it's good 
There is no solution to my problem yet.,,Customer Requested Modifications,Customer Requested Modifications - There is no solution to my problem yet.
Good behaviour by Customer Executive,,Payment related Queries,Payment related Queries - Good behaviour by Customer Executive
Solution not resolved,,Invoice request,Invoice request - Solution not resolved 
Arun bhaiya ne meri problem ko solve kr dia tha dekho ab bs mera order return   unhone try Kia hai thnku bhaiya   se bat   bhaiya ne thnkuu   do please,,Invoice request,Invoice request - Arun bhaiya ne meri problem ko solve kr dia tha dekho ab bs mera order return   unhone try Kia hai t
well shivam kee it up,,Online Payment Issues,Online Payment Issues - well shivam kee it up
4 and 5 ???? ??????,,Delayed,Delayed - 4 and 5 ???? ??????
Customer support executive misguided me that's why my refund not received and they provide me wrong information all time,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer support executive misguided me that's why my refund not received and they provide me wrong 
5,,Fraudulent User,Fraudulent User - 5
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Good customer service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good customer service
nice,,Return request,Return request - nice
solve problems quickly,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - solve problems quickly
Nice to meet,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice to meet 
I am happy that someone was able to resolve my issue Thank miss.sabhabut the other executive was just hung up on me.that shows unprofessionalism from Shopzilla.I never expected this kind of behaviour from the executives.Regards Saurabh sharma,,Return request,Return request - I am happy that someone was able to resolve my issue Thank miss.sabhabut the other executive was jus
Good experience,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good experience 
Good job,,Order status enquiry,Order status enquiry - Good job
Nice toking good ??,,Instant discount,Instant discount - Nice toking good ??
Nice,,Not Needed,Not Needed - Nice 
Thank You Mam,,UnProfessional Behaviour,UnProfessional Behaviour - Thank You Mam 
Thank you so much,,Return request,Return request - Thank you so much 
Thank you so much,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you so much 
Excellent,,Customer Requested Modifications,Customer Requested Modifications - Excellent 
Ok,,Missing,Missing - Ok
Happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Happy 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
I love you sir,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I love you sir 
Very good,,Missing,Missing - Very good 
Thanks mam,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks mam
Excellent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Excellent 
Thanks,,Order status enquiry,Order status enquiry - Thanks
Good,,Refund Enquiry,Refund Enquiry - Good
Ok,,Seller onboarding,Seller onboarding - Ok
Excellent service ??,,Priority delivery,Priority delivery - Excellent service ??
Get **ed,,Order status enquiry,Order status enquiry - Get **ed 
Good information,,Missing,Missing - Good information 
Thank u Shopzilla to fast response and resolve my Problem,,Invoice request,Invoice request - Thank u Shopzilla to fast response and resolve my Problem 
1i love Shopzilla,,Priority delivery,Priority delivery - 1i love Shopzilla
The products that you book should come only and not other products,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The products that you book should come only and not other products
Nice,,Delayed,Delayed - Nice
Kindly educate your CSA who are on  level 1 and provide them with the required information.,,Seller onboarding,Seller onboarding - Kindly educate your CSA who are on  level 1 and provide them with the required information.
Excellent,,Other Cashback,Other Cashback - Excellent
All is well,,Order status enquiry,Order status enquiry - All is well
Nice,,Priority delivery,Priority delivery - Nice
Costomer service is better,,Shopzila Premium Related,Shopzila Premium Related - Costomer service is better 
extremely polite and understanding. She deserves more better role for handling customer service. Her patience and communication is highly appreciable. thank you for your support!,,Return request,Return request -   extremely polite and understanding. She deserves more better role for handling customer service. H
uski jagah dusra order aaya hai aur mera order cancel kar diya gaya hai,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   uski jagah dusra order aaya hai aur mera order cancel kar diya gaya hai
Happy,,Seller Cancelled Order,Seller Cancelled Order - Happy 
All good,,Installation/demo,Installation/demo - All good
Make a policy regarding price difference refund within 7 days of delivery,,Product Specific Information,Product Specific Information - Make a policy regarding price difference refund within 7 days of delivery 
Every Shopzilla hub contact no mandatory,,Seller Cancelled Order,Seller Cancelled Order - Every Shopzilla hub contact no mandatory 
Nice interaction so keep it up,,Online Payment Issues,Online Payment Issues - Nice interaction so keep it up
Good he addressed my concern well.tjank you.,,Order status enquiry,Order status enquiry - Good he addressed my concern well.tjank you.
Very worst services,,Customer Requested Modifications,Customer Requested Modifications - Very worst services 
behaviour is good,,Return request,Return request -   behaviour is good 
The customer care executive man is very good.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The customer care executive man is very good.
Please change the delivery partner this Shopzilla is totally not good in service.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please change the delivery partner this Shopzilla is totally not good in service.
Good,,Wrong,Wrong - Good 
Almost good ??,,Payment related Queries,Payment related Queries - Almost good ??
Sil problem,,Service Centres Related,Service Centres Related - Sil problem 
Please try to provide me my refund against car frill air freshner,,Priority delivery,Priority delivery - Please try to provide me my refund against car frill air freshner
Thanks,,Product Specific Information,Product Specific Information - Thanks 
Improve your support,,Online Payment Issues,Online Payment Issues - Improve your support
Meri bat ho gayi h,,Missing,Missing - Meri bat ho gayi h
I love Shopzilla........,,Payment related Queries,Payment related Queries - I love Shopzilla........ 
thanks for supporting me,,Delayed,Delayed - thanks for supporting me 
Make policy regarding to cancellation of order more flexible,,Not Needed,Not Needed - Make policy regarding to cancellation of order more flexible
Ok,,Product Specific Information,Product Specific Information - Ok
Thank you,,Order status enquiry,Order status enquiry - Thank you 
Gd person,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Gd person
Nothing,,Wrong,Wrong - Nothing
make a call directly to customer support availability icon would be more convenient,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - make a call directly to customer support availability icon would be more convenient 
Deliver service poor ??,,Order status enquiry,Order status enquiry - Deliver service poor ??
Brand tag issue my product,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Brand tag issue my product
Wrost ever payment deducted but order not confirmed yet nykaa SuperBuy  they are the best,,Online Payment Issues,Online Payment Issues - Wrost ever payment deducted but order not confirmed yet nykaa SuperBuy  they are the best 
Thnkeeeeeewww for solving my problem,,Customer Requested Modifications,Customer Requested Modifications - Thnkeeeeeewww for solving my problem
You already have excellent customer support executives,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - You already have excellent customer support executives
No,,Product Specific Information,Product Specific Information - No
Everything is fine but why you disconnected my call I'm unable to give this feedback as  I'm confused if this is for previously connected ma'am or jayveerIam giving you 1 star ? jayveer only for the reason that you disconnected my call.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Everything is fine but why you disconnected my call I'm unable to give this feedback as  I'm confuse
The customer executive genuinely gentleman the way he interact with me in our mother tongue   is so excellent ???? hope in future the feedback also give in   customer executive   ????-???? sadhuvaad ?????????????? and this is for the product seller ???????????? ?? ??? ???? ?????  ?? ???? ??? ????? ????? ??? ??? ?? ???? ???? ??? ???? ???? ???? ?? ???-??? ?????? ?? ???? ???? ?? ???? ??? ?? ??? ??? ????? ???? ?? ??? ???? ????,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The customer executive genuinely gentleman the way he interact with me in our mother tongue   is so 
Ok,,Product Specific Information,Product Specific Information - Ok
Very nice ????,,Payment related Queries,Payment related Queries - Very nice ????
"I got different product after multiple delays in delivery of the product, the product I received is different from what I ordered.Not got solution till yet.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - I got different product after multiple delays in delivery of the product, the product I received is "
Thank you,,Return request,Return request - Thank you 
Every thing fine,,UnProfessional Behaviour,UnProfessional Behaviour - Every thing fine
"Customer representative marked the issue as resolved without solving it. Also, disconnected the call after keeping me in wait for 2-3 min. Very disappointed ??",,Payment related Queries,"Payment related Queries - Customer representative marked the issue as resolved without solving it. Also, disconnected the call"
They are simply reading from the scrips instead of actually helping me out.,,Exchange / Replacement,Exchange / Replacement - They are simply reading from the scrips instead of actually helping me out.
Little knowledge,,Installation/demo,Installation/demo - Little knowledge
I being frauded by Shopzilla delivery agent,,Refund Related Issues,Refund Related Issues - I being frauded by Shopzilla delivery agent 
Good service,,Delayed,Delayed - Good service 
Thanks full,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thanks full 
"I would like to say thanks to your Customer care agent ( *Miss  *), She is very understanding and helpful, I want to say that please promote her becouse she is very good to solve customers issues, Thanks",,Delayed,"Delayed - I would like to say thanks to your Customer care agent ( *Miss  *), She is very understanding and he"
Link/connect a good behaviour delivery boy otherwise not . Becz delivery boy behaviour is very very bad,,UnProfessional Behaviour,UnProfessional Behaviour - Link/connect a good behaviour delivery boy otherwise not . Becz delivery boy behaviour is very very 
Na,,Return request,Return request - Na
But Deliver services is poor,,Order status enquiry,Order status enquiry - But Deliver services is poor 
Interaction was good,,Fraudulent User,Fraudulent User - Interaction was good
The person was good and understanding,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The person was good and understanding
"The executive I was speaking to, was not fluent in his conversation and a bit slow in providing resolution, but was helping in nature and genuinely wanted to give the best possible resolution.",,Order status enquiry,"Order status enquiry - The executive I was speaking to, was not fluent in his conversation and a bit slow in providing reso"
Your Shopzilla pay later refferal service is very bad . I'm waiting for my refferal amount since 15 days .,,Online Payment Issues,Online Payment Issues - Your Shopzilla pay later refferal service is very bad . I'm waiting for my refferal amount since 15 
Good,,Invoice request,Invoice request - Good 
Good,,Installation/demo,Installation/demo - Good
I tried 3 times but every time they put me on hold and transfer my call to his seniors but there is not any senior to resolved my query and after 2 min of hold phone disconnect itself bed experiance,,Payment related Queries,Payment related Queries - I tried 3 times but every time they put me on hold and transfer my call to his seniors but there is 
Thanks you sir ??,,Order status enquiry,Order status enquiry - Thanks you sir ?? 
Costnore care,,Service Centres Related,Service Centres Related - Costnore care 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Thank you,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you 
Mujhe inse firse baat Krna h if possible,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Mujhe inse firse baat Krna h if possible 
As I am struggling for my issue from March 23 and today is 26 Aug so almost 6 months I am working on it.Still waiting for resolution and Shopzilla is not small company whi did this very irritating and mental harrasment process to provide resolution.It is very pathetic experience.I am using Shopzilla from long time but this experience lost all trust on Shopzilla.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - As I am struggling for my issue from March 23 and today is 26 Aug so almost 6 months I am working on
My problems not solve but i hope you are solve my problemsMy t shirt not delivered but Shopzilla app show delivered your productThis problems is very bad your reputation.,,Delayed,Delayed - My problems not solve but i hope you are solve my problemsMy t shirt not delivered but Shopzilla app
Thexxx you??,,Delayed,Delayed - Thexxx you??
Great,,Return request,Return request - Great
Ok mam aapka no,,Seller Cancelled Order,Seller Cancelled Order - Ok mam aapka no 
need invoice,,Invoice request,Invoice request - need invoice 
"Do not formality to request person, Give solution with 100% result, not only Hope",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Do not formality to request person, Give solution with 100% result, not only Hope"
Okhshshsshsish,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Okhshshsshsish
nice,,Customer Requested Modifications,Customer Requested Modifications - nice
GOOD AFTERNOON It was a great talk with MR. Mukesh.He was so polite and he caught my queries quickly.I think he will send the product as soon as possible for him.It was a nice to talk him.,,Priority delivery,Priority delivery - GOOD AFTERNOON It was a great talk with MR. Mukesh.He was so polite and he caught my queries quickly
Very good,,Return request,Return request - Very good 
Helpfull,,Refund Related Issues,Refund Related Issues - Helpfull 
Solved issues with return policy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Solved issues with return policy 
The tone of his conversation was fine but I wanted to talk to the senior but the call could not be connected,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The tone of his conversation was fine but I wanted to talk to the senior but the call could not be c
Thanks,,Return request,Return request - Thanks 
baat karke,,Reverse Pickup Enquiry,Reverse Pickup Enquiry -   baat karke
Nothings,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nothings 
Resolve immediately,,UnProfessional Behaviour,UnProfessional Behaviour - Resolve immediately 
Nice,,Product Specific Information,Product Specific Information - Nice
Very good,,Order status enquiry,Order status enquiry - Very good 
Good supporting,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good supporting 
Very good I am Happy,,UnProfessional Behaviour,UnProfessional Behaviour - Very good I am Happy
?? good,,Not Needed,Not Needed - ?? good
Bahut kharab,,Service Centres Related,Service Centres Related - Bahut kharab  
Please support your customer with pleasure and feel them comfortable to trade in future with your plateform Shopzilla,,Product Specific Information,Product Specific Information - Please support your customer with pleasure and feel them comfortable to trade in future with your pl
Good service,,Order status enquiry,Order status enquiry - Good service 
No proper solution provided.,,Invoice request,Invoice request - No proper solution provided.
Just try to provide more sellers with better offers and more products availability.,,Seller onboarding,Seller onboarding - Just try to provide more sellers with better offers and more products availability.
Give costomer to right information,,Product Specific Information,Product Specific Information - Give costomer to right information 
Could not solve a simple issue of return getting cancelled,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Could not solve a simple issue of return getting cancelled 
"you just kept delaying the process, you don't value your customer time....resolve the issue as soon as possible",,Order status enquiry,"Order status enquiry - you just kept delaying the process, you don't value your customer time....resolve the issue as soon "
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Worst customer service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Worst customer service 
Improve your backend team services,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Improve your backend team services
Good men my problem soul,,Order status enquiry,Order status enquiry - Good men my problem soul 
Good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good ??
Hii,,Order status enquiry,Order status enquiry - Hii 
XL SIZE LARK HALF HALMET NOT AVAILABLE TO YOU PORTAL. 1 YEAR WAITING SIR ????,,Product Specific Information,Product Specific Information - XL SIZE LARK HALF HALMET NOT AVAILABLE TO YOU PORTAL. 1 YEAR WAITING SIR ????
I liked your behavior so I want you to do my work soon,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I liked your behavior so I want you to do my work soon
Better',,Product Specific Information,Product Specific Information - Better'
very sad i placed order for face wash payment also deducted from our account but order not confirmed the order which was showing to me was showing cash on delivery after all we canceled it when call customer care  So even after being on the call for 17 minutes the customer care assistant said that your money will be refunded it is very sad that a company like Shopzilla is not able to take care of its customer or it is not the first time also many with me before  This has happened many times my payment has been deducted and the order is not confirmed,,Refund Enquiry,Refund Enquiry - very sad i placed order for face wash payment also deducted from our account but order not confirmed
Good,,UnProfessional Behaviour,UnProfessional Behaviour - Good 
Please call me again,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please call me again 
Yes,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Yes
Not resolved my problem,,Delayed,Delayed - Not resolved my problem 
"My query has been resolved without providing any resolution. In portal I see a comment to share the snapshot of MRP label but I'm not sure how can I share it as I don't have an email address where this needs to be sent. This is highly irresponsible, your support team told me that I'll receive a call which I never received.",,Refund Related Issues,Refund Related Issues - My query has been resolved without providing any resolution. In portal I see a comment to share the 
Not good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Not good 
Thank you   ????????????,,Refund Enquiry,Refund Enquiry - Thank you   ????????????
It's very nice and good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - It's very nice and good ??
Very Very Bad service.,,General Enquiry,General Enquiry - Very Very Bad service.
Fast delivery & discount,,Order status enquiry,Order status enquiry - Fast delivery & discount
"Shopzilla I am not happy with you , please stop doing fraud from your loyal customers",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Shopzilla I am not happy with you , please stop doing fraud from your loyal customers "
Please check grossery product silled pack at the time of packing,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please check grossery product silled pack at the time of packing 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
You should change your policy when the product is not like by the customer and you should keep only best product checking by Shopzilla.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - You should change your policy when the product is not like by the customer and you should keep only 
Return fee should not be taken,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Return fee should not be taken 
Tq mam,,Return request,Return request - Tq mam 
Very good,,Order status enquiry,Order status enquiry - Very good 
Very good,,Return request,Return request - Very good 
Good behaviour,,Online Payment Issues,Online Payment Issues - Good behaviour 
Trusted 100/,,Online Payment Issues,Online Payment Issues - Trusted 100/
Good knowledge but problem not showing.,,Delayed,Delayed - Good knowledge but problem not showing.
Good girl ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good girl ??
Ensure please,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Ensure please 
Nice,,Fraudulent User,Fraudulent User - Nice
Customer care service is good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Customer care service is good
Thanks,,Product Specific Information,Product Specific Information - Thanks 
Thank you customer care service,,Not Needed,Not Needed - Thank you customer care service 
Many companies are cheating without providing offered product some times nothing there package.. So please take strong action against those companies otherwise it will effect goodwill of Shopzilla,,Missing,Missing - Many companies are cheating without providing offered product some times nothing there package.. So 
Nics,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nics 
Customer support understood my problem very well and provided a satisfactory solution. nice way of talking,,Service Centres Related,Service Centres Related - Customer support understood my problem very well and provided a satisfactory solution. nice way of t
Simply good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Simply good
Happy,,Invoice request,Invoice request - Happy
One of the customer care executive Miss   was awesome...i recommend whenever I need to talk customer care executive plz reffer to her... thanks gouri ji for ur resolution which u have given to me...and you knowledge and behaviour was awesome...i wish you will get more and more success...it's my humble request plz every time connect with her...,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - One of the customer care executive Miss   was awesome...i recommend whenever I need to talk customer
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Good,,Wrong,Wrong - Good 
Very good behavior,,Damaged,Damaged - Very good behavior 
Good suggestion,,Customer Requested Modifications,Customer Requested Modifications - Good suggestion 
"You all are basterd, mother **ers. I shoe you bloody sister **ers.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - You all are basterd, mother **ers. I shoe you bloody sister **ers."
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice
Right,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Right
Bahut achcha support,,Wrong,Wrong - Bahut achcha support
Good,,COD Refund Details,COD Refund Details - Good 
Santusti,,Order status enquiry,Order status enquiry - Santusti 
Excellent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Excellent 
Good costumer support,,Installation/demo,Installation/demo - Good costumer support 
Good,,Online Payment Issues,Online Payment Issues - Good
Bahut achha h,,Product Specific Information,Product Specific Information - Bahut achha h
Excellent customer service,,Installation/demo,Installation/demo - Excellent customer service
Nyc,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nyc
